publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p791227,earthquake,2024-10-19T18:05:45.424Z,2024-10-19T18:07:30.620Z,169.75791931152344,-44.531864166259766,1.6878872477887397,5,M,operator assigned,LOCSAT,preliminary,manual,iasp91,15,10,1,0.338644415140152,62.41073608398438,0.6254487276785617,0
2024p788568,earthquake,2024-10-18T18:29:17.419Z,2024-10-18T19:23:34.354Z,170.19406127929688,-45.16894149780273,2.3016596404947043,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,9,7,0.342668354511261,75.42334747314453,0.6757142825172474,0.21738722776533748
2024p769171,earthquake,2024-10-11T14:14:39.058Z,2024-10-11T15:57:44.716Z,169.7550048828125,-44.54609680175781,1.8604490407508172,1.754056215286255,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,3,0.34684646129608154,55.03324890136719,0.43348875321567015,0.13205036235329437
2024p738140,quarry blast,2024-09-30T02:41:22.350Z,2024-09-30T02:50:49.955Z,170.4502,-45.3734,2.0005539059233644,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,11,11,3,0.3567607674612762,154.13421526547089,0.28056598739254013,0.40299445780450843
2024p732897,quarry blast,2024-09-28T04:07:51.261Z,2024-09-28T06:02:47.588Z,170.4502,-45.3734,2.731334383323597,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,11,11,3,0.3567607674612762,194.9650597359141,0.4691708731280064,0.599034713976624
2024p724729,earthquake,2024-09-25T03:35:40.979Z,2024-09-30T23:22:56.796Z,170.55462646484375,-45.429443359375,2.280694133823229,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,11,2,0.39068207144737244,213.44101524353027,0.7171001493499755,0.13376629464987475
2024p713559,quarry blast,2024-09-21T00:24:39.260Z,2024-09-21T01:10:38.462Z,170.4502,-45.3734,2.044136965441137,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,13,13,3,0.3567607674612762,145.98756996966029,0.655846817133178,0.3034388324535773
2024p680148,earthquake,2024-09-08T15:42:33.791Z,2024-09-08T16:58:01.576Z,169.19029235839844,-44.94300079345703,2.5019680770819015,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,16,3,0.16890057921409607,66.99179077148438,0.5684959477255777,0.2749779916592037
2024p657161,earthquake,2024-08-31T03:35:44.268Z,2024-09-03T23:22:06.260Z,170.49151611328125,-45.38668823242188,2.1788342043451054,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,11,1,0.35939455032348633,151.3107509613037,0.5740898303309085,0
2024p653996,earthquake,2024-08-29T23:29:34.080Z,2024-09-02T21:34:50.091Z,169.20655822753906,-44.96937561035156,2.789204917119084,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,28,16,5,0.1957179456949234,68.58008575439453,0.5535311912131358,0.24832381100829684
2024p594682,quarry blast,2024-08-08T00:47:01.469Z,2024-08-08T00:52:02.853Z,170.4532470703125,-45.35118103027344,2.8660182692474776,2.7963924407958984,M,,LOCSAT,preliminary,manual,iasp91,11,11,3,0.3356839120388031,145.44277000427246,0.5440529414853937,0
2024p559845,quarry blast,2024-07-26T03:25:30.000Z,2024-07-26T08:39:20.162Z,170.45,-45.3734,2.2145549139674943,0,MLv,operator assigned,,confirmed,manual,,0,0,1,0,0,0.4502016951718233,0
2024p530156,quarry blast,2024-07-15T03:47:35.569Z,2024-07-18T23:48:44.531Z,170.45,-45.37,2.100183337984421,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,5,5,1,0.3536799574091802,201.2484596820503,0.2239177791192547,0
2024p518168,earthquake,2024-07-10T17:20:01.952Z,2024-07-15T01:44:32.003Z,170.91587829589844,-45.13200759887695,2.802828679609365,2.7956738471984863,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,8,0.04962620511651039,146.9791717529297,0.5305876303801441,0.25602165356199114
2024p500086,quarry blast,2024-07-04T00:46:08.000Z,2024-07-04T02:00:06.723Z,170.4502,-45.3734,2.1033337539868495,0,MLv,operator assigned,,confirmed,manual,,0,0,4,0,0,1.0757767116354429,0.16219391016774534
2024p478779,quarry blast,2024-06-26T03:33:55.435Z,2024-06-26T08:59:22.610Z,170.45,-45.37,1.715431251,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,12,12,1,0.3536799566,194.6473881,0.4789762593,0
2024p445027,earthquake,2024-06-13T15:50:21.719Z,2024-06-13T16:02:50.661Z,165.9779968,-47.67461014,3.374224587,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,12,1,1.608465672,317.2098427,1.014830708,0
2024p439783,earthquake,2024-06-11T17:16:26.965Z,2024-06-11T18:35:39.884Z,170.9375763,-45.13948822,2.079506382,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,5,0.04559428245,175.909214,0.7094507176,0.2386727994
2024p424737,quarry blast,2024-06-06T03:40:15.000Z,2024-06-06T04:08:05.178Z,170.4502,-45.3734,2.093555802,0,MLv,operator assigned,,confirmed,manual,,0,0,1,0,0,0.4968655046,0
2024p381490,quarry blast,2024-05-21T03:38:18.018Z,2024-05-21T05:32:12.309Z,170.4502,-45.3734,1.521589979,0,MLv,operator assigned,FixedHypocenter,preliminary,manual,iasp91,7,7,1,0.3567607667,194.9650616,0.2925138987,0
2024p377479,earthquake,2024-05-19T16:00:40.190Z,2024-06-18T21:01:02.521Z,166.0130005,-47.29085159,2.946735072,5,ML,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,3,1.215162277,310.5055923,0.7058147142,0.3048111866
2024p367282,earthquake,2024-05-15T21:28:04.589Z,2024-05-16T01:02:22.295Z,168.9578247,-45.08011246,1.866505465,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,2,0.256611377,68.7600708,0.4244116179,0.1052226074
2024p327092,quarry blast,2024-05-01T00:35:00.000Z,2024-05-01T00:49:24.072Z,170.45,-45.37,2.089647953,0,MLv,operator assigned,,confirmed,manual,,0,0,5,0,0,0.2892775509,0.1209474309
2024p317437,earthquake,2024-04-27T10:50:39.105Z,2024-04-27T14:37:05.049Z,169.9798889,-44.7937355,1.996601544,5,ML,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,6,0.4335093498,73.68718719,0.6746374005,0.2278541386
2024p313185,earthquake,2024-04-25T21:05:05.715Z,2024-05-24T00:37:28.157Z,170.3760223,-45.05087662,3.024586581,0.8386002183,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,4,0.1905338913,72.63401794,0.3915112037,0.07951419334
2024p285739,earthquake,2024-04-15T17:21:51.916Z,2024-04-15T18:14:07.959Z,170.1311493,-45.75731659,2.399508691,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,18,2,0.279653728,84.37021446,0.6908564207,0.02473452078
2024p270676,quarry blast,2024-04-10T03:36:22.059Z,2024-04-10T09:11:24.848Z,170.4539032,-45.37121964,2.111984623,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,8,8,4,0.3539297283,195.2709637,0.3242299701,0
2024p247833,earthquake,2024-04-01T16:45:11.578Z,2024-04-29T23:48:56.961Z,166.0244141,-47.3477211,2.962561835,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,11,2,1.265115619,310.8080177,0.7105039913,0.331015835
2024p227323,quarry blast,2024-03-25T02:38:00.167Z,2024-04-23T02:01:13.411Z,170.4436493,-45.37213898,1.196262689,0,M,operator assigned,FixedHypocenter,preliminary,manual,iasp91,9,9,1,0.3575969934,194.0573158,0.3656302194,0
2024p222998,earthquake,2024-03-23T12:13:37.694Z,2024-03-23T12:31:01.174Z,170.0779877,-45.99627304,1.740178889,2.244226694,MLv,,LOCSAT,confirmed,manual,iasp91,18,14,1,0.1115268841,91.77384949,0.3569551317,0
2024p220885,earthquake,2024-03-22T17:27:51.902Z,2024-03-22T17:56:47.995Z,168.764328,-45.0788002,1.669621464,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,1,0.085705854,65.39137268,0.74478597,0
2024p195945,earthquake,2024-03-13T12:00:00.436Z,2024-04-03T02:07:46.603Z,167.0380096,-46.72563553,2.776130699,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,3,0.6116778851,236.4699402,0.7010816106,0.1426480723
2024p187559,earthquake,2024-03-10T09:31:57.917Z,2024-03-10T09:39:27.253Z,170.9386139,-45.11875916,2.526901608,4.373296738,MLv,,LOCSAT,confirmed,manual,iasp91,26,19,6,0.02878600173,148.0345383,0.6556521519,0.1600267939
2024p178328,quarry blast,2024-03-06T23:33:33.213Z,2024-03-06T23:45:01.991Z,170.4502,-45.3734,1.687109779,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,11,11,3,0.3567607667,182.4986978,0.8795805273,0.3936921181
2024p170564,quarry blast,2024-03-04T02:36:39.374Z,2024-03-04T02:41:26.049Z,170.4502,-45.3734,1.782862117,0,ML,operator assigned,FixedHypocenter,confirmed,manual,iasp91,9,9,2,0.3567607667,194.9650616,0.4499627683,0.6736178159
2024p156085,earthquake,2024-02-27T18:02:36.039Z,2024-03-18T23:45:49.426Z,170.4183502,-45.07049561,2.236870809,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,1,0.1625524759,131.0931931,0.759091065,0
2024p155061,earthquake,2024-02-27T08:56:53.755Z,2024-02-27T09:09:37.993Z,169.6769257,-44.46717453,2.587838801,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,22,16,7,0.3695260584,68.56677246,0.4502741379,0.289754933
2024p154360,quarry blast,2024-02-27T02:43:15.512Z,2024-02-27T02:53:36.903Z,170.4502,-45.3734,1.818818787,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,10,10,1,0.3567607667,145.9875745,1.273835846,0
2024p120359,earthquake,2024-02-14T12:47:34.475Z,2024-02-14T13:06:11.913Z,168.7776184,-45.04339218,2.21236222,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,2,0.08211822808,56.28368574,0.5981406553,0.3843110896
2024p102445,earthquake,2024-02-07T21:42:52.803Z,2024-02-08T00:17:16.870Z,166.8937683,-46.81741714,3.062913031,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,8,3,0.6678046584,255.6934052,0.5156873377,0.1639265459
2024p101998,earthquake,2024-02-07T17:44:39.074Z,2024-02-08T00:03:45.285Z,165.6890717,-47.82070541,3.541895987,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,4,1.788927913,320.0178165,0.6195445235,0.3409912283
2024p055889,earthquake,2024-01-21T16:18:04.638Z,2024-01-21T16:36:00.645Z,170.3931122,-45.04302979,2.510851952,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,10,7,0.1783089936,79.96424103,0.8605225947,0.1451051959
2024p055884,earthquake,2024-01-21T16:15:00.547Z,2024-02-18T23:25:31.280Z,170.4025421,-45.05307388,3.859814416,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,25,28,0.171846807,73.85562897,0.5893776984,0.1549894023
2024p037117,earthquake,2024-01-14T17:36:03.155Z,2024-02-12T23:22:54.624Z,165.7522888,-47.49986267,3.203977141,33,MLv,operator assigned,LOCSAT,preliminary,manual,iasp91,15,8,1,1.665930033,317.2807331,0.7393686211,0
2024p031365,earthquake,2024-01-12T14:31:19.302Z,2024-02-08T23:28:06.845Z,169.35849,-45.28265381,2.827006265,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,22,16,6,0.06262341142,52.39859772,0.6719984393,0.1101294201
2024p021659,earthquake,2024-01-09T00:19:56.413Z,2024-01-09T00:53:44.443Z,169.1898346,-44.9703064,1.838760257,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,2,0.1884655207,68.87463379,0.5568848699,0.08614903776
2024p006630,earthquake,2024-01-03T10:52:28.466Z,2024-01-30T21:21:05.284Z,170.4693756,-45.1373024,1.81241398,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,8,1,0.1553020626,89.03852844,0.7752437665,0
2023p983011,earthquake,2023-12-30T17:08:26.780Z,2024-01-25T22:47:30.569Z,168.7672119,-45.1976738,2.863388565,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,14,4,0.1812553704,55.9934082,0.6003801952,0.2050837854
2023p982551,earthquake,2023-12-30T13:03:16.136Z,2023-12-30T14:45:50.052Z,168.7683258,-45.2085228,2.50710558,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,13,6,0.3822712004,54.78125,0.5057587229,0.1875461579
2023p975611,quarry blast,2023-12-27T23:25:58.019Z,2023-12-27T23:55:29.084Z,170.4502,-45.3734,2.419859436,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,6,6,1,0.3567607667,201.6549941,3.067251164,0
2023p963114,earthquake,2023-12-23T08:27:23.685Z,2024-01-18T23:01:53.257Z,168.9473877,-46.24922562,3.149823273,18.78346825,MLv,,LOCSAT,confirmed,manual,iasp91,25,17,9,0.3167936802,72.93644714,0.6827044661,0.09825402548
2023p962476,quarry blast,2023-12-23T02:47:14.208Z,2023-12-23T02:52:20.390Z,170.4498444,-45.34276199,1.578972876,0,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,10,10,4,0.3290002942,144.3855705,0.4307470869,0.3256756184
2023p954381,quarry blast,2023-12-20T02:54:36.000Z,2023-12-20T03:44:04.869Z,170.4502,-45.3734,1.685920612,0,MLv,operator assigned,,confirmed,manual,,0,0,3,0,0,1.247886647,0.5837324039
2023p940173,earthquake,2023-12-14T20:44:41.292Z,2023-12-14T20:51:23.832Z,169.2826996,-44.86738205,2.581378223,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,12,10,5,0.1928754747,66.56692505,0.5053626329,0.2289686105
2023p930076,quarry blast,2023-12-11T03:04:39.781Z,2023-12-12T02:33:18.753Z,170.4502,-45.3734,1.775918411,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,9,9,1,0.3567607667,201.6549941,0.9909343546,0
2023p919232,quarry blast,2023-12-07T02:46:51.000Z,2023-12-07T02:54:05.693Z,170.4502,-45.3734,2.168161659,0,MLv,operator assigned,,confirmed,manual,,0,0,2,0,0,0.6024947517,0.4472658757
2023p903685,earthquake,2023-12-01T08:43:21.759Z,2023-12-01T09:07:48.180Z,165.5429688,-47.67463303,3.782019531,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,7,1.698581219,320.8135014,0.9504620027,0.2424383271
