publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p791812,earthquake,2024-10-19T23:17:48.948Z,2024-10-19T23:20:23.083Z,174.7704620361328,-39.37079620361328,1.784549162345444,19.111255645751953,MLv,,LOCSAT,preliminary,manual,iasp91,16,10,2,0.2462974339723587,193.80958557128906,0.2299081427549884,0.1392149859540624
2024p791501,earthquake,2024-10-19T20:32:42.622Z,2024-10-19T22:35:12.023Z,174.93331909179688,-39.36747360229492,1.998294578225897,135.28431701660156,MLv,,LOCSAT,confirmed,manual,iasp91,33,22,1,0.5679854154586792,230.6222686767578,0.4751251627940287,0
2024p790877,earthquake,2024-10-19T14:59:39.596Z,2024-10-19T15:09:51.734Z,174.94308471679688,-39.287960052490234,0.933650461369319,20.747554779052734,MLv,,LOCSAT,confirmed,manual,iasp91,21,14,3,0.2174302190542221,88.69007873535156,0.2430525148260879,0.38404082946308454
2024p790791,earthquake,2024-10-19T14:13:38.033Z,2024-10-19T16:33:00.166Z,175.02516174316406,-39.205631256103516,1.2980673939919383,8.251331329345703,MLv,,LOCSAT,confirmed,manual,iasp91,31,24,6,0.22266507148742676,87.31889343261719,0.2858151494599151,0.20996301253666477
2024p790786,earthquake,2024-10-19T14:11:01.772Z,2024-10-19T15:52:56.268Z,175.27352905273438,-38.625003814697266,1.9924367790880722,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,32,20,9,0.2395733594894409,53.62149047851562,0.4507589868009056,0.1226642623314298
2024p790561,earthquake,2024-10-19T12:12:20.820Z,2024-10-19T13:06:38.476Z,175.2843475341797,-38.61525344848633,1.9426144591691696,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,23,12,0.2500891387462616,68.01863098144531,0.43372698164939427,0.2150832907394258
2024p790457,earthquake,2024-10-19T11:15:53.303Z,2024-10-19T12:10:20.932Z,175.30003356933594,-38.61704635620117,1.1497585938057975,5.94857406616211,MLv,,LOCSAT,confirmed,manual,iasp91,22,14,3,0.2500000298023224,91.03965759277344,0.38660734869898133,0.14397882126881262
2024p790274,earthquake,2024-10-19T09:38:00.294Z,2024-10-19T10:12:48.519Z,175.11666870117188,-38.860286712646484,4.255617158801446,216.73800659179688,MLv,,LOCSAT,confirmed,manual,iasp91,138,119,131,0.10284198820590973,76.79969787597656,0.5703880614169256,0.4557331876174849
2024p790125,earthquake,2024-10-19T08:19:05.381Z,2024-10-19T08:46:01.571Z,174.97824096679688,-39.30986022949219,1.1000881772638984,20.87319564819336,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,3,0.25194236636161804,99.13402938842773,0.3371232658828922,0.35339140399946073
2024p790101,earthquake,2024-10-19T08:06:42.439Z,2024-10-19T08:57:12.978Z,175.02426147460938,-39.230812072753906,0.9058249208801913,17.013761520385742,MLv,,LOCSAT,confirmed,manual,iasp91,14,10,2,0.2323572337627411,193.90382385253906,0.17304462479061836,0.441363787305885
