publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p791776,earthquake,2024-10-19T22:58:38.765Z,2024-10-19T23:01:27.306Z,175.7108154296875,-39.26185989379883,0.422288289094314,25.357648849487305,MLv,,LOCSAT,preliminary,manual,iasp91,16,10,5,0.04436438903212547,167.39566040039062,0.7613090282965391,0.14663810505195018
2024p791760,earthquake,2024-10-19T22:50:15.676Z,2024-10-19T22:53:07.729Z,177.3112030029297,-37.711788177490234,2.080772702028861,12,M,operator assigned,LOCSAT,preliminary,manual,iasp91,14,10,8,0.3027971386909485,199.57280731201172,0.6591720060375262,0
2024p791759,earthquake,2024-10-19T22:49:36.066Z,2024-10-19T22:53:53.290Z,175.7100067138672,-39.41660690307617,0.4288730398406335,17.131925582885742,MLv,,LOCSAT,preliminary,manual,iasp91,19,12,3,0.03442172706127167,242.0759811401367,0.1475899143783532,0.31049403824959015
2024p791724,earthquake,2024-10-19T22:31:02.639Z,2024-10-19T22:34:11.706Z,175.67547607421875,-39.43986892700195,0.20079282090097159,17.418312072753906,M,,LOCSAT,preliminary,manual,iasp91,14,9,3,0.0684441402554512,270.7612953186035,0.24303345004269006,0
2024p791388,earthquake,2024-10-19T19:31:31.961Z,2024-10-19T21:25:48.991Z,177.07077026367188,-37.67190170288086,1.8963188696198625,31.76742172241211,MLv,,LOCSAT,confirmed,manual,iasp91,16,10,3,0.5626271963119507,262.34207916259766,0.6803132805840644,0.1191902431467495
2024p791327,earthquake,2024-10-19T18:59:10.098Z,2024-10-19T19:39:06.537Z,175.79200744628906,-38.513309478759766,1.6551410805122906,142.59927368164062,MLv,,LOCSAT,confirmed,manual,iasp91,22,15,2,0.621498703956604,218.57412719726562,0.5888550799405589,0.1423065280062101
2024p791083,earthquake,2024-10-19T16:49:21.962Z,2024-10-19T17:06:01.056Z,175.44664001464844,-39.30250549316406,0.476969636363018,10.970771789550781,MLv,,LOCSAT,confirmed,manual,iasp91,25,16,3,0.07891498506069183,86.66188049316406,0.3048183902391357,0.42695572204419513
2024p790998,earthquake,2024-10-19T16:04:07.052Z,2024-10-19T16:24:25.313Z,175.42466735839844,-39.217464447021484,0.5039839673601213,8.868670463562012,MLv,,LOCSAT,confirmed,manual,iasp91,30,20,6,0.09305286407470703,84.00605750083923,0.24494043460636536,0.14914820653858385
2024p790864,earthquake,2024-10-19T14:52:46.843Z,2024-10-19T16:08:28.134Z,176.4805450439453,-38.0827751159668,2.242806912357469,124.9305648803711,MLv,,LOCSAT,confirmed,manual,iasp91,38,24,12,0.4549733400344849,120.23851776123047,0.5069624042523776,0.40147416001535163
2024p790814,earthquake,2024-10-19T14:26:13.597Z,2024-10-19T15:18:16.984Z,175.7293701171875,-39.27680587768555,0.34308688791599035,26.896852493286133,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,4,0.05908779427409172,111.54812049865723,0.3360111108621422,0.11842649493695062
2024p790691,earthquake,2024-10-19T13:20:29.023Z,2024-10-19T13:50:44.292Z,175.74420166015625,-38.32384490966797,1.7029847885645288,156.2487030029297,MLv,,LOCSAT,confirmed,manual,iasp91,24,19,3,0.5022344589233398,84.43862915039062,0.4751641726667692,0.29707101242945644
2024p790578,earthquake,2024-10-19T12:20:10.302Z,2024-10-19T12:39:27.718Z,175.7230224609375,-39.03380584716797,0.6468908738865206,4.446396350860596,MLv,,LOCSAT,confirmed,manual,iasp91,22,13,3,0.062788225710392,107.64717102050781,0.13395503217418475,0.14006235748187842
2024p790527,earthquake,2024-10-19T11:53:12.557Z,2024-10-19T16:30:31.006Z,175.72067260742188,-39.49076843261719,0.5544611183957099,11.75654411315918,MLv,,LOCSAT,confirmed,manual,iasp91,18,11,3,0.08752638101577759,239.98436737060547,0.3768553741027943,0.42615017372356234
