publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p790566,earthquake,2024-10-19T12:13:50.836Z,2024-10-19T12:59:10.665Z,173.93885803222656,-40.57224655151367,2.0944794859409077,73.85382080078125,MLv,,LOCSAT,confirmed,manual,iasp91,39,27,7,0.2296065390110016,92.20674157142639,0.4712724962173072,0.3679387723934504
2024p790522,earthquake,2024-10-19T11:50:10.118Z,2024-10-19T12:36:43.500Z,172.3079376220703,-41.7275505065918,2.0188380042996035,71.1211929321289,MLv,,LOCSAT,confirmed,manual,iasp91,31,20,4,0.2956179678440094,103.36518859863281,0.3140497106187899,0.28395226092218584
2024p787247,earthquake,2024-10-18T06:45:26.831Z,2024-10-18T08:20:09.583Z,171.8127899169922,-42.82284164428711,1.2934265743626578,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,2,0.2198336273431778,69.89544677734375,0.421957647934425,0.12886916967855222
2024p786126,earthquake,2024-10-17T20:48:07.718Z,2024-10-17T21:51:19.756Z,173.41567993164062,-41.03485870361328,1.5988559365096715,74.69197845458984,MLv,,LOCSAT,confirmed,manual,iasp91,26,17,6,0.18411767482757568,131.8846321105957,0.4248715016927653,0.29890421927463634
2024p786112,earthquake,2024-10-17T20:40:30.929Z,2024-10-17T20:55:47.025Z,172.60311889648438,-41.21159362792969,2.556879502790339,111.50536346435547,MLv,,LOCSAT,confirmed,manual,iasp91,26,19,8,0.2205125391483307,123.59231567382812,0.5495551611046516,0.31033862773615445
2024p784447,earthquake,2024-10-17T05:53:37.296Z,2024-10-17T06:56:27.115Z,168.8455810546875,-43.99368667602539,1.8582125311661273,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,11,1,0.09055598825216293,144.27941131591797,0.43219454216296965,0
2024p783201,earthquake,2024-10-16T18:49:47.063Z,2024-10-16T19:42:41.007Z,171.28443908691406,-43.25809860229492,1.8542649003007723,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,14,2,0.32243475317955017,78.00603008270264,0.37996770948907976,0.05430213236312356
2024p781990,,2024-10-16T08:05:23.348Z,2024-10-16T08:08:50.815Z,172.89084787298003,-40.9617740860666,2.844549964262614,343.40625,M,,NonLinLoc,,automatic,nz3drx,19,19,12,0.3046911723904137,113.57191460985106,3.663323006503568,0
2024p780436,earthquake,2024-10-15T18:16:35.414Z,2024-10-15T18:25:20.077Z,172.79898071289062,-41.819637298583984,2.535705872445617,69.98011016845703,MLv,,LOCSAT,confirmed,manual,iasp91,28,19,6,0.09784320741891861,72.94720458984375,0.4574147382999467,0.24606727538742187
2024p779795,earthquake,2024-10-15T12:34:46.929Z,2024-10-15T12:43:32.428Z,169.22047424316406,-44.120445251464844,2.9378368436812283,40.98855972290039,MLv,,LOCSAT,confirmed,manual,iasp91,31,18,6,0.26933252811431885,52.01889801025391,0.4365034217793805,0.19775943101198346
2024p778639,quarry blast,2024-10-15T02:19:00.654Z,2024-10-15T05:19:45.536Z,171.9,-41.65,2.4541724795224944,0,MLv,operator assigned,FixedHypocenter,confirmed,manual,iasp91,12,12,4,0.11870141070252756,173.2177063161249,0.8462660014078147,0.42481558040639383
2024p776378,earthquake,2024-10-14T06:14:22.444Z,2024-10-14T08:49:35.318Z,169.49624633789062,-43.99236297607422,2.7523447564957446,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,17,13,0.2882815897464752,68.26248168945312,0.7223292295684766,0.15343529404845377
2024p775594,earthquake,2024-10-13T23:16:38.623Z,2024-10-13T23:46:03.178Z,172.00062561035156,-42.51364517211914,2.062034957277302,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,1,0.2229812890291214,106.53170776367188,0.6458974148777039,0
2024p773916,earthquake,2024-10-13T08:22:50.037Z,2024-10-13T08:44:32.746Z,171.36190795898438,-43.13261032104492,1.6211421344658765,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,17,1,0.2376352846622467,91.4115982055664,0.5000017044651642,0
2024p770989,earthquake,2024-10-12T06:23:02.282Z,2024-10-12T07:13:32.567Z,172.59707641601562,-41.2000732421875,2.101415384259847,111.3330307006836,MLv,,LOCSAT,confirmed,manual,iasp91,22,11,4,0.2327069342136383,124.8499755859375,0.35417256073242154,0.5924549396962006
2024p770248,earthquake,2024-10-11T23:48:17.399Z,2024-10-12T00:38:24.665Z,172.7509307861328,-41.37385559082031,1.860088876070202,75.65967559814453,MLv,,LOCSAT,confirmed,manual,iasp91,21,12,8,0.02565598487854004,100.79666137695312,0.6195076943601191,0.3383725509207729
2024p769971,earthquake,2024-10-11T21:21:04.000Z,2024-10-11T23:52:59.728Z,172.56207275390625,-41.293312072753906,2.290620397929781,138.79910278320312,MLv,,LOCSAT,confirmed,manual,iasp91,32,16,1,0.18122582137584686,125.6161651611328,0.4700710110908757,0
2024p769289,earthquake,2024-10-11T15:17:10.914Z,2024-10-11T15:31:33.838Z,172.4133758544922,-41.6396484375,2.5910126959477697,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,13,6,0.17243225872516632,109.36307001113892,0.4731024480563897,0.1794328126880246
2024p769218,earthquake,2024-10-11T14:39:23.095Z,2024-10-11T16:13:05.553Z,169.50291442871094,-44.100250244140625,2.231694422757601,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,17,1,0.2338641881942749,53.734375,0.7275010697538317,0
2024p768943,earthquake,2024-10-11T12:13:20.722Z,2024-10-11T15:40:19.529Z,172.5936737060547,-41.20378494262695,2.328127406013247,111.49335479736328,MLv,,LOCSAT,confirmed,manual,iasp91,21,12,7,0.2309071570634842,125.23825073242188,0.4443725502172274,0.323139683528359
2024p768454,earthquake,2024-10-11T07:52:44.918Z,2024-10-11T08:08:50.280Z,172.5432891845703,-41.243648529052734,2.2107402764535444,167.49588012695312,MLv,,LOCSAT,confirmed,manual,iasp91,20,16,4,0.2239908128976822,130.84217834472656,0.3552776318400036,0.2603873738237047
2024p767136,earthquake,2024-10-10T20:10:31.421Z,2024-10-10T22:17:26.856Z,172.53016662597656,-41.22298049926758,2.6340340307907675,168.6468505859375,MLv,,LOCSAT,confirmed,manual,iasp91,23,17,15,0.24557776749134064,133.85943603515625,0.34904525641522277,0.22429295440468305
2024p766921,earthquake,2024-10-10T18:15:58.262Z,2024-10-10T18:59:01.510Z,171.3740997314453,-43.13984298706055,1.4024374401071025,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,14,1,0.41638773679733276,89.31756114959717,0.7303127154816873,0
2024p766037,earthquake,2024-10-10T10:24:48.189Z,2024-10-10T15:38:57.867Z,173.16909790039062,-41.3447380065918,1.7896134463996933,97.79740905761719,MLv,,LOCSAT,confirmed,manual,iasp91,20,12,1,0.20347215235233307,73.53241348266602,0.44957745050907805,0
2024p765511,earthquake,2024-10-10T05:44:37.907Z,2024-10-17T00:19:00.492Z,173.2034912109375,-41.40846633911133,2.832815670326479,73.8107681274414,MLv,,LOCSAT,confirmed,manual,iasp91,41,23,9,0.13180240988731384,47.45655250549316,0.4911334746209323,0.3511988850638693
2024p764917,earthquake,2024-10-10T00:27:52.658Z,2024-10-10T00:36:24.435Z,173.3619842529297,-40.577537536621094,2.4980289246273326,142.6012725830078,MLv,,LOCSAT,confirmed,manual,iasp91,27,16,3,0.480899304151535,104.90852737426758,0.3883050581928574,0.05023999096645778
2024p763946,earthquake,2024-10-09T15:50:43.784Z,2024-10-09T16:59:49.437Z,171.10838317871094,-43.12017059326172,1.73155789947468,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,14,3,0.229246586561203,85.00535678863525,0.4547023627928556,0.2675170787347509
2024p763809,earthquake,2024-10-09T14:37:56.843Z,2024-10-09T16:35:10.197Z,172.8695526123047,-40.965606689453125,2.2474590546691893,154.46505737304688,MLv,,LOCSAT,confirmed,manual,iasp91,24,16,2,0.09668882191181183,140.38408660888672,0.5262063855276743,0.03832587898949665
2024p762903,earthquake,2024-10-09T06:35:04.527Z,2024-10-09T08:06:16.912Z,168.87167358398438,-44.023902893066406,2.50636804328259,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,13,3,0.07933089137077332,121.90576171875,0.5314865189956419,0.1913442747273444
2024p762321,earthquake,2024-10-09T01:24:44.874Z,2024-10-09T01:51:05.248Z,171.11651611328125,-43.12860870361328,2.049627736670641,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,14,2,0.2372223883867264,82.49160480499268,0.5796906497923658,0.15096099870276306
2024p761120,earthquake,2024-10-08T14:45:05.172Z,2024-10-08T15:00:48.014Z,173.29258728027344,-40.66571044921875,1.7855075138219914,137.08311462402344,MLv,,LOCSAT,confirmed,manual,iasp91,28,16,5,0.445523738861084,96.13858604431152,0.5259470457943684,0.20765751431654397
2024p759276,earthquake,2024-10-07T22:22:15.397Z,2024-10-07T22:38:56.709Z,173.335205078125,-40.85805130004883,1.981572045436767,91.74383544921875,MLv,,LOCSAT,confirmed,manual,iasp91,20,13,4,0.3336080312728882,170.20409393310547,0.3385193625940029,0.29435554517951373
2024p759112,earthquake,2024-10-07T20:54:52.310Z,2024-10-07T21:05:09.598Z,168.6699981689453,-44.266563415527344,2.5831012886803983,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,12,6,0.2104143500328064,126.23184204101562,0.4797453853895395,0.1310615261389872
2024p755346,earthquake,2024-10-06T11:28:32.748Z,2024-10-06T13:19:52.606Z,170.12539672851562,-43.70795822143555,2.272686883994044,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,14,7,0.03506040200591087,87.37104797363281,0.6685176176489163,0.14382883805673666
2024p755324,earthquake,2024-10-06T11:17:07.775Z,2024-10-07T00:53:18.843Z,169.8792266845703,-43.73030090332031,2.399634175254516,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,19,5,0.15812280774116516,72.04534912109375,0.6179945096183167,0.24256674686367927
2024p753125,earthquake,2024-10-05T15:45:07.574Z,2024-10-05T15:52:37.683Z,173.18771362304688,-41.22929382324219,1.1013901239441033,83.90147399902344,MLv,,LOCSAT,confirmed,manual,iasp91,22,11,1,0.1451614946126938,126.5924301147461,0.501265717504349,0
2024p752311,earthquake,2024-10-05T08:32:06.872Z,2024-10-05T08:52:31.703Z,172.4971466064453,-41.287330627441406,2.5860284628150967,185.12423706054688,MLv,,LOCSAT,confirmed,manual,iasp91,22,14,6,0.2256810665130615,134.5627317428589,0.27748346166808086,0.1937689430646754
2024p750040,earthquake,2024-10-04T12:21:39.963Z,2024-10-09T23:10:04.467Z,172.4712677001953,-41.34465789794922,3.1526250404100593,171.84815979003906,MLv,,LOCSAT,confirmed,manual,iasp91,51,32,17,0.1941210776567459,133.69473028182983,0.5521863065827157,0.16560554464795915
2024p749679,earthquake,2024-10-04T09:09:03.524Z,2024-10-04T10:12:54.059Z,169.55970764160156,-44.01831817626953,2.1480569053291028,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,1,0.3167892396450043,58.84808349609375,0.9295496059600344,0
2024p749603,earthquake,2024-10-04T08:28:39.705Z,2024-10-04T09:00:56.087Z,172.8997039794922,-41.03065490722656,2.079473578711977,141.37054443359375,MLv,,LOCSAT,confirmed,manual,iasp91,25,14,7,0.34760797023773193,127.87702178955078,0.5767901148085112,0.11897653127422952
