publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p790745,earthquake,2024-10-19T13:49:16.688Z,2024-10-19T16:03:52.878Z,171.28353881835938,-43.3777961730957,1.5819285135964707,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,22,15,2,0.25793376564979553,63.26407051086426,0.38683070857612256,0.034694379822473774
2024p787864,earthquake,2024-10-18T12:14:26.041Z,2024-10-18T15:31:52.969Z,171.07090759277344,-43.72066116333008,1.6857375619132906,6.608335018157959,MLv,,LOCSAT,confirmed,manual,iasp91,19,13,3,0.013760432600975037,64.23531723022461,0.29414100717606206,0.3231443999834465
2024p787248,earthquake,2024-10-18T06:46:08.451Z,2024-10-18T06:51:22.597Z,173.5471649169922,-42.24775314331055,2.645466717342891,14.557782173156738,MLv,,LOCSAT,confirmed,manual,iasp91,30,20,13,0.1682290881872177,87.95730209350586,0.44150317650666676,0.19731710642718145
2024p786399,earthquake,2024-10-17T23:13:48.312Z,2024-10-17T23:18:55.844Z,172.89907836914062,-42.39009094238281,2.8939213443314515,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,31,22,19,0.14242172241210938,59.77245330810547,0.32227639743563957,0.11802675099483048
2024p783048,earthquake,2024-10-16T17:28:16.373Z,2024-10-16T17:40:29.604Z,173.74122619628906,-42.34572982788086,2.226948007989195,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,11,3,0.09122490882873535,189.0525302886963,0.5858238996320105,0.8016725811460446
2024p781022,earthquake,2024-10-15T23:29:04.197Z,2024-10-15T23:33:55.814Z,172.05575561523438,-42.97270965576172,1.8833573731275437,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,9,2,0.2480003833770752,175.48157119750977,0.4383665002592604,0.11302311054596693
2024p780854,earthquake,2024-10-15T21:59:13.374Z,2024-10-15T22:04:50.369Z,172.04547119140625,-42.97080993652344,2.2303029366333877,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,14,5,0.2514626085758209,102.43338394165039,0.44121417591705714,0.15980156771433787
2024p779989,earthquake,2024-10-15T14:18:10.333Z,2024-10-15T14:23:01.257Z,172.13951110839844,-43.47359848022461,2.0761877521831433,4.848191261291504,MLv,,LOCSAT,confirmed,manual,iasp91,28,21,7,0.03158301115036011,55.16211318969727,0.3605699220645706,0.2648510339550708
2024p779384,earthquake,2024-10-15T08:56:11.324Z,2024-10-15T09:14:19.069Z,173.61788940429688,-42.05912399291992,2.1845002316800226,18.91301727294922,MLv,,LOCSAT,confirmed,manual,iasp91,25,16,1,0.1699858009815216,89.80171775817871,0.4247930242208905,0
2024p778234,earthquake,2024-10-14T22:43:20.544Z,2024-10-14T23:01:16.608Z,173.5759735107422,-42.17963790893555,2.1138837742098002,6.897459030151367,MLv,,LOCSAT,confirmed,manual,iasp91,18,12,3,0.18142659962177277,107.674560546875,0.25939197507839423,0.2524314577996363
2024p775648,earthquake,2024-10-13T23:45:29.910Z,2024-10-14T00:15:51.474Z,172.949951171875,-42.01295852661133,3.10765143695811,37.57953643798828,MLv,,LOCSAT,confirmed,manual,iasp91,41,32,16,0.2342577576637268,47.96136474609375,0.3486093860421546,0.18150269851200337
2024p774837,earthquake,2024-10-13T16:33:09.700Z,2024-10-13T16:43:07.189Z,171.7380828857422,-43.567474365234375,1.5061366068667843,4.635841846466064,MLv,,LOCSAT,confirmed,manual,iasp91,18,13,1,0.05230559781193733,100.50007057189941,0.32606801770313065,0
2024p774748,earthquake,2024-10-13T15:46:06.373Z,2024-10-13T16:22:34.413Z,173.4222412109375,-42.385459899902344,2.7065369960192007,5.023706912994385,MLv,,LOCSAT,confirmed,manual,iasp91,46,29,12,0.091683991253376,84.75047302246094,0.367610277734688,0.16325586593870975
2024p771428,earthquake,2024-10-12T10:17:08.135Z,2024-10-12T10:27:26.689Z,172.04742431640625,-42.97547912597656,2.39575866858567,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,17,4,0.25405436754226685,52.31436157226562,0.4819345067765307,0.20411731873591962
