publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p790282,earthquake,2024-10-19T09:42:27.920Z,2024-10-19T09:54:11.133Z,168.1608428955078,-44.34727096557617,3.3716555858945454,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,15,13,0.3666393756866455,193.72899627685547,0.6128680673503412,0.25063978627430217
2024p789754,earthquake,2024-10-19T05:01:23.575Z,2024-10-19T05:09:37.059Z,168.1564178466797,-44.31576919555664,1.9980329404073975,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,11,2,0.39359280467033386,211.58665084838867,0.8039295652683479,0
2024p789574,earthquake,2024-10-19T03:25:13.970Z,2024-10-19T08:02:25.263Z,168.13845825195312,-44.328617095947266,2.8449564155033507,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,7,0.37659507989883423,197.55288314819336,0.7044188910946696,0.166185891091972
2024p788145,earthquake,2024-10-18T14:44:05.201Z,2024-10-18T15:36:43.600Z,168.58453369140625,-44.48213577270508,2.154350534214221,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,2,0.40279826521873474,118.84158277511597,0.4986591777714053,0.3215687921997542
2024p787414,earthquake,2024-10-18T08:14:22.634Z,2024-10-18T08:19:27.058Z,168.14968872070312,-44.31813430786133,2.543768452326907,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,4,0.3894440829753876,197.79534149169922,0.43955749341200484,0.12628444525614904
2024p785743,earthquake,2024-10-17T17:24:04.410Z,2024-10-17T17:51:22.914Z,167.46604919433594,-45.1871223449707,2.0968340152358893,57.13935089111328,MLv,,LOCSAT,confirmed,manual,iasp91,22,16,7,0.3545001447200775,174.29281616210938,0.5734085610073041,0.18679882862056515
2024p785534,earthquake,2024-10-17T15:32:52.282Z,2024-10-17T16:18:18.086Z,166.9027862548828,-45.41368103027344,2.4529710724098663,32.01915740966797,MLv,,LOCSAT,confirmed,manual,iasp91,25,15,6,0.1518349051475525,181.50335693359375,0.4638277905975424,0.21584504024946616
2024p785130,earthquake,2024-10-17T11:57:24.573Z,2024-10-17T12:04:24.186Z,167.91659545898438,-44.31653594970703,3.1789338586040685,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,19,10,0.3568148612976074,233.69478607177734,0.6933423759231484,0.18467883109431243
2024p783388,earthquake,2024-10-16T20:29:35.894Z,2024-10-16T21:07:31.091Z,168.0850830078125,-44.24237823486328,2.206490239173296,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,2,0.44562292098999023,211.5448989868164,0.4794694197045903,0.007793450700008454
2024p782752,earthquake,2024-10-16T14:50:16.376Z,2024-10-16T15:11:24.069Z,168.63072204589844,-44.489192962646484,2.093113934443574,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,16,6,0.40787073969841,112.87526845932007,0.6001407690426449,0.11554041252617754
2024p780569,earthquake,2024-10-15T19:27:13.185Z,2024-10-15T19:35:18.559Z,167.3746337890625,-45.06539916992188,3.43395921644688,98.57882690429688,MLv,,LOCSAT,confirmed,manual,iasp91,31,22,10,0.36023813486099243,169.1643180847168,0.5646829352772316,0.12582528356817024
2024p779538,earthquake,2024-10-15T10:18:18.328Z,2024-10-15T11:55:26.442Z,168.53643798828125,-44.881080627441406,2.15353646648053,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,1,0.09390839189291,77.19461059570312,0.539211783651865,0
2024p777293,earthquake,2024-10-14T14:21:44.107Z,2024-10-14T14:38:42.477Z,168.15640258789062,-44.34493637084961,2.298638639744511,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,12,2,0.36728355288505554,209.89001846313477,0.5790643470989975,0.156632479356113
2024p775502,earthquake,2024-10-13T22:27:48.807Z,2024-10-13T22:47:15.172Z,168.1116943359375,-44.31692886352539,2.061169826145471,5,ML,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,1,0.3802284896373749,200.93711471557617,0.654379485404744,0
2024p774519,earthquake,2024-10-13T13:44:13.456Z,2024-10-13T14:15:34.504Z,168.1607666015625,-44.332393646240234,4.587666210967128,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,37,29,14,0.3799121677875519,185.00636672973633,0.5241789018726554,0.11649106810720326
2024p773696,earthquake,2024-10-13T06:25:34.281Z,2024-10-13T07:02:37.742Z,167.43812561035156,-45.07856369018555,2.2430711572862805,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,11,3,0.39185574650764465,159.4732894897461,0.4721672033844795,0.18705466720820996
2024p772940,earthquake,2024-10-12T23:42:57.430Z,2024-10-18T01:37:50.561Z,167.4198760986328,-45.20501327514648,2.5007360650621657,84.80868530273438,MLv,,LOCSAT,confirmed,manual,iasp91,29,16,3,0.320537805557251,134.83375930786133,0.6157012623110647,0.05403517669068864
2024p772457,earthquake,2024-10-12T19:25:06.105Z,2024-10-12T21:00:38.510Z,168.1750946044922,-44.31782531738281,2.5060408600152484,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,12,6,0.39752721786499023,195.7303352355957,0.6010964078877755,0.22569651160090087
2024p769195,earthquake,2024-10-11T14:27:15.020Z,2024-10-17T22:44:18.584Z,166.950439453125,-45.73294067382812,2.835645417820299,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,15,3,0.3037983179092407,156.7137500271201,0.4848872085119683,0.3086968656053503
2024p768925,earthquake,2024-10-11T12:03:22.465Z,2024-10-11T14:54:45.057Z,167.73997497558594,-44.88774108886719,2.491064677970111,41.975791931152344,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,2,0.2521699070930481,220.02215576171875,0.6138338937621205,0.44744185028990974
2024p767889,earthquake,2024-10-11T02:51:27.965Z,2024-10-17T23:36:38.054Z,165.93357849121094,-46.28751373291016,4.0973131165059185,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,13,4,0.5326574444770813,289.9412155151367,1.152244109854795,0.28345356369129016
2024p766809,earthquake,2024-10-10T17:16:00.602Z,2024-10-17T00:23:53.895Z,167.28526306152344,-45.44821166992188,2.782221336534641,89.44013214111328,MLv,,LOCSAT,confirmed,manual,iasp91,29,17,2,0.09417369961738586,130.75392723083496,0.6261838087370508,0.11235107962055718
2024p765471,earthquake,2024-10-10T05:23:09.892Z,2024-10-17T21:40:55.339Z,167.35572814941406,-45.09382247924805,3.530214428416089,104.17376708984375,MLv,,LOCSAT,confirmed,manual,iasp91,29,16,13,0.3336445987224579,165.3448600769043,0.5510470603944156,0.1677067409576522
2024p764760,earthquake,2024-10-09T23:04:18.825Z,2024-10-15T02:46:20.664Z,166.2672576904297,-46.35016250610352,3.4971381781325923,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,13,7,0.34077373147010803,271.34575271606445,1.1648919108725844,0.23916911546850456
2024p763575,earthquake,2024-10-09T12:33:10.787Z,2024-10-15T01:58:07.965Z,168.26515197753906,-44.61381912231445,2.865847463338744,61.76515197753906,MLv,,LOCSAT,confirmed,manual,iasp91,26,14,1,0.2490370273590088,128.84661483764648,0.4225655057544301,0
2024p763109,earthquake,2024-10-09T08:24:58.192Z,2024-10-09T08:31:37.361Z,167.65408325195312,-44.94327926635742,1.96494836654893,55.34241104125977,MLv,,LOCSAT,confirmed,manual,iasp91,19,11,1,0.3323165476322174,181.79282760620117,0.9984401589338099,0
2024p761675,earthquake,2024-10-08T19:40:46.003Z,2024-10-13T23:14:21.508Z,167.57852172851562,-45.0240364074707,2.7979992816552954,67.05120086669922,MLv,,LOCSAT,confirmed,manual,iasp91,25,15,2,0.4050285220146179,181.214298248291,0.6764969398432589,0.40332109766974594
2024p758422,earthquake,2024-10-07T14:46:47.814Z,2024-10-13T21:06:46.102Z,167.25933837890625,-44.438148498535156,2.8232837315011934,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,31,21,3,0.5317130088806152,240.5855407714844,0.9109499934911213,0.11139520712012542
2024p758363,earthquake,2024-10-07T14:16:11.034Z,2024-10-07T14:23:16.186Z,167.10536193847656,-45.2626953125,2.6447910208979515,14.81289005279541,MLv,,LOCSAT,confirmed,manual,iasp91,22,16,6,0.10872058570384979,136.65619659423828,0.9085578162390954,0.10461718000348282
2024p755592,earthquake,2024-10-06T13:39:40.950Z,2024-10-06T15:01:20.952Z,167.587890625,-45.07646179199219,2.2091467710851815,60.34138107299805,MLv,,LOCSAT,confirmed,manual,iasp91,21,15,1,0.3526290953159332,180.9903163909912,0.5990315188022541,0
2024p755196,earthquake,2024-10-06T10:08:54.850Z,2024-10-06T11:42:27.386Z,167.62103271484375,-44.98885726928711,2.4133284602981586,59.69586181640625,MLv,,LOCSAT,confirmed,manual,iasp91,21,15,3,0.3830837905406952,180.05622100830078,0.7246081507797151,0.08559728989937038
2024p754526,earthquake,2024-10-06T04:11:39.141Z,2024-10-06T05:40:51.397Z,167.5472869873047,-44.967071533203125,2.2526853249244154,69.22835540771484,MLv,,LOCSAT,confirmed,manual,iasp91,26,14,5,0.3988291025161743,190.75265502929688,0.7543733745717891,0.14192733636677746
2024p753267,earthquake,2024-10-05T17:00:45.989Z,2024-10-10T01:14:01.815Z,167.3694305419922,-44.95240783691406,2.9460608634415606,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,23,15,4,0.43104979395866394,186.3324089050293,0.8587804437039755,0.2930703008763961
2024p752122,earthquake,2024-10-05T06:51:05.969Z,2024-10-10T01:04:45.642Z,167.0702667236328,-45.47128295898438,0.9474244694896098,33.1343879699707,ML,,LOCSAT,confirmed,manual,iasp91,26,14,1,0.05896205082535744,136.52455139160156,0.6041169461314558,0
2024p751783,earthquake,2024-10-05T03:51:05.389Z,2024-10-05T06:22:18.524Z,167.54641723632812,-45.07748794555664,2.562489035673834,99.61104583740234,MLv,,LOCSAT,confirmed,manual,iasp91,24,14,6,0.46104496717453,148.21276092529297,0.9274826086374741,0.2835928982100345
2024p750173,earthquake,2024-10-04T13:32:34.199Z,2024-10-04T13:50:35.707Z,167.2576141357422,-44.81705093383789,2.504222849811401,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,1,0.4977675676345825,229.5215492248535,0.90504241292434,0
2024p749530,earthquake,2024-10-04T07:49:50.027Z,2024-10-09T22:16:43.859Z,167.53929138183594,-45.06238174438477,2.8996817252588447,58.3176040649414,MLv,,LOCSAT,confirmed,manual,iasp91,35,22,4,0.37639638781547546,151.6911735534668,0.6644139886051597,0.22673323318499963
2024p747140,earthquake,2024-10-03T10:36:34.009Z,2024-10-03T10:59:07.938Z,167.51934814453125,-45.06844711303711,2.024992751394164,97.61132049560547,MLv,,LOCSAT,confirmed,manual,iasp91,18,10,3,0.4730493128299713,183.39787673950195,0.7379684092382026,0.1436302423958989
2024p746357,earthquake,2024-10-03T03:39:29.212Z,2024-10-08T23:22:16.532Z,167.24388122558594,-45.37615203857422,2.9455885464712805,61.20010757446289,MLv,,LOCSAT,confirmed,manual,iasp91,28,16,2,0.10905618220567703,179.13340759277344,0.7812804385491744,0.10270860221039838
2024p742958,earthquake,2024-10-01T21:28:13.287Z,2024-10-02T00:58:34.666Z,167.51698303222656,-45.016014099121094,2.3128153912326113,102.56858825683594,MLv,,LOCSAT,confirmed,manual,iasp91,17,12,1,0.5169921517372131,197.96525192260742,0.6036674385999552,0
2024p742319,earthquake,2024-10-01T15:47:38.601Z,2024-10-07T01:52:52.826Z,168.6859588623047,-44.82725143432617,3.0418935938885463,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,32,19,7,0.20226693153381348,73.14193725585938,0.6647011701036487,0.1455719113528302
2024p742269,earthquake,2024-10-01T15:21:01.978Z,2024-10-07T01:50:19.202Z,168.686279296875,-44.8265495300293,2.9890753295367505,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,22,6,0.20262214541435242,73.20016479492188,0.6584192388858399,0.15392975147078217
2024p742248,earthquake,2024-10-01T15:10:01.379Z,2024-10-01T15:16:19.788Z,167.5138702392578,-44.946353912353516,2.203327054505184,31.048070907592773,MLv,,LOCSAT,confirmed,manual,iasp91,17,13,1,0.4009403884410858,237.03809356689453,0.4136601439999231,0
2024p739626,earthquake,2024-09-30T15:53:06.833Z,2024-10-07T01:19:45.612Z,167.40655517578125,-45.78244400024414,3.7824859776315023,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,20,12,0.3640124201774597,95.50898742675781,0.6129154535371877,0.1594099650986573
2024p738033,earthquake,2024-09-30T01:44:12.986Z,2024-10-07T01:10:16.563Z,167.13818359375,-45.43652725219727,2.783614216991414,57.87057113647461,MLv,,LOCSAT,confirmed,manual,iasp91,31,18,5,0.03018910810351372,118.78562927246094,0.7726716228332977,0.4202929491103926
2024p736401,earthquake,2024-09-29T11:14:53.873Z,2024-09-29T12:35:27.460Z,167.32456970214844,-45.38201522827148,2.461105846884359,50.52236938476562,MLv,,LOCSAT,confirmed,manual,iasp91,26,15,2,0.28012967109680176,121.3454132080078,0.5293574443570778,0.19706111196074855
2024p732247,earthquake,2024-09-27T22:21:39.418Z,2024-10-02T22:30:04.786Z,167.76089477539062,-44.620521545410156,2.8191175311838905,6.641559600830078,MLv,,LOCSAT,confirmed,manual,iasp91,24,14,2,0.12902966141700745,199.56729888916016,0.8771391972385082,0.09190782682677431
2024p731816,earthquake,2024-09-27T18:31:46.466Z,2024-10-02T22:53:12.843Z,167.67752075195312,-44.916378021240234,3.080760390000958,47.40176391601562,MLv,,LOCSAT,confirmed,manual,iasp91,33,20,3,0.30076703429222107,182.3211898803711,0.786407257808948,0.17893820123861479
2024p721653,earthquake,2024-09-24T00:16:45.773Z,2024-09-30T23:15:32.010Z,167.05120849609375,-45.43645095825195,2.6900244003578413,44.88677215576172,MLv,,LOCSAT,confirmed,manual,iasp91,23,16,2,0.07737573236227036,138.15296936035156,0.9922729858248063,1.1947754439153866
2024p721101,earthquake,2024-09-23T19:22:46.411Z,2024-09-30T00:13:05.105Z,167.35411071777344,-45.09597396850586,3.867252294341202,84.88545227050781,MLv,,LOCSAT,confirmed,manual,iasp91,25,14,11,0.3315531611442566,161.8081512451172,0.5751536745194715,0.15735987316850877
2024p719123,earthquake,2024-09-23T01:48:53.393Z,2024-09-29T23:59:57.593Z,167.16758728027344,-45.30476760864258,2.9489948427762926,10.843238830566406,MLv,,LOCSAT,confirmed,manual,iasp91,29,16,3,0.1574660986661911,119.45494079589844,0.7730729055251975,0.36669484304062366
2024p718966,earthquake,2024-09-23T00:25:17.716Z,2024-09-30T00:29:48.011Z,167.19482421875,-45.28938293457031,3.759132367844648,8.952963829040527,MLv,,LOCSAT,confirmed,manual,iasp91,28,15,13,0.1734289526939392,125.84581756591797,0.5307882112616416,0.1653382221880537
2024p718793,earthquake,2024-09-22T22:52:59.495Z,2024-09-29T21:48:53.905Z,167.89541625976562,-44.599884033203125,2.563239771665561,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,22,12,1,0.4501594305038452,199.756046295166,1.127627406999398,0
2024p716200,earthquake,2024-09-21T23:51:37.448Z,2024-09-22T00:53:47.010Z,167.50672912597656,-45.68727493286133,2.2955275947698563,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,2,0.30904778838157654,81.79379272460938,0.4906424883872965,0.697732623363818
2024p715095,earthquake,2024-09-21T14:02:54.168Z,2024-09-27T03:02:03.196Z,165.98849487304688,-46.2882194519043,3.1528210706373114,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,1,0.4957814812660217,292.8528861999512,1.1771657672529694,0
2024p715073,earthquake,2024-09-21T13:50:47.853Z,2024-09-27T02:42:04.760Z,165.94674682617188,-46.32994842529297,3.548293696867293,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,10,1,0.5349987745285034,294.3198013305664,1.1819450115981847,0
2024p715058,earthquake,2024-09-21T13:43:03.250Z,2024-09-27T03:05:32.323Z,165.96168518066406,-46.22610473632812,3.409362767431611,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,4,0.5030044317245483,293.8578414916992,0.8428506152632743,0.19294219593390863
2024p715044,earthquake,2024-09-21T13:35:30.120Z,2024-09-27T03:09:26.854Z,167.3506317138672,-45.29954528808594,3.4838725618074116,55.03800964355469,MLv,,LOCSAT,confirmed,manual,iasp91,31,19,6,0.2158227413892746,123.66650390625,0.6931239459655214,0.22582570754606213
2024p709862,earthquake,2024-09-19T15:34:57.005Z,2024-09-25T23:50:33.507Z,167.3355255126953,-45.13265228271484,4.050616927245682,74.10227966308594,MLv,,LOCSAT,confirmed,manual,iasp91,34,19,16,0.3024154603481293,156.58079528808594,0.6326862004339157,0.1612524283181923
2024p703153,earthquake,2024-09-17T04:00:08.351Z,2024-09-17T06:09:14.679Z,167.97264099121094,-44.7581901550293,2.3900420777504365,80.34760284423828,M,,LOCSAT,confirmed,manual,iasp91,16,11,4,0.0914987102150917,119.6186981201172,0.6247868189234622,0
2024p701403,earthquake,2024-09-16T12:27:35.057Z,2024-09-24T00:10:41.139Z,165.5186767578125,-47.33191299438477,4.967620087345553,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,30,22,16,1.4135690927505493,203.40279388427734,0.9220584170094619,0.1658475061903466
2024p701078,earthquake,2024-09-16T09:34:51.715Z,2024-09-16T12:25:03.245Z,167.39268493652344,-45.21392440795898,1.6925551901996063,100.5758285522461,MLv,,LOCSAT,confirmed,manual,iasp91,17,10,1,0.302245557308197,187.7308807373047,0.466799122719044,0
2024p696401,earthquake,2024-09-14T16:02:58.670Z,2024-09-22T23:01:09.301Z,168.64666748046875,-44.484649658203125,3.2306971021523685,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,42,27,10,0.412075936794281,124.74617445468903,0.627704522106799,0.12221060296447427
2024p693830,earthquake,2024-09-13T17:13:10.031Z,2024-09-13T17:27:14.533Z,168.38047790527344,-44.52958297729492,2.2940648588115575,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,13,2,0.5410706400871277,200.13382720947266,1.5431710169164636,0.09327949360316733
2024p693753,earthquake,2024-09-13T16:31:53.027Z,2024-09-13T16:37:12.105Z,168.3724822998047,-44.51869583129883,2.384484981942111,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,3,0.3465304374694824,189.60088348388672,0.767150577801218,0
