publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p791305,earthquake,2024-10-19T18:47:50.048Z,2024-10-19T19:18:18.495Z,177.68528747558594,-37.86172866821289,2.442340690755079,36.367130279541016,MLv,,LOCSAT,confirmed,manual,iasp91,37,24,20,0.10341385006904602,125.42293167114258,0.5441254732349172,0.18340455336530603
2024p789647,earthquake,2024-10-19T04:04:01.176Z,2024-10-19T04:08:55.505Z,177.90577697753906,-37.811946868896484,1.3280123544504991,68.91116333007812,MLv,,LOCSAT,confirmed,manual,iasp91,20,13,4,0.11240191012620926,112.33364868164062,0.4565001501821526,0.552668871061022
2024p789058,earthquake,2024-10-18T22:50:27.545Z,2024-10-18T22:59:22.019Z,178.19992065429688,-38.31435775756836,2.6082635688857776,23.53175354003906,MLv,,LOCSAT,confirmed,manual,iasp91,21,13,14,0.09846366196870804,115.8112382888794,0.4756834579219599,0.16600708008441753
2024p788594,earthquake,2024-10-18T18:43:17.551Z,2024-10-18T22:24:35.798Z,178.0404052734375,-38.44319152832031,1.462051182311085,25.65174674987793,MLv,,LOCSAT,confirmed,manual,iasp91,19,11,6,0.1372537612915039,112.46485137939453,0.2963629483554582,0.2877141890963811
2024p788350,earthquake,2024-10-18T16:33:06.091Z,2024-10-18T16:41:32.287Z,178.05218505859375,-38.53681945800781,1.8990220366406416,28.866085052490234,MLv,,LOCSAT,confirmed,manual,iasp91,23,14,9,0.10822812467813492,127.91458129882812,0.4129930784498273,0.13822624296069796
2024p787887,earthquake,2024-10-18T12:26:29.009Z,2024-10-18T12:57:32.510Z,178.2470703125,-38.18022155761719,1.6112427490647336,22.615528106689453,MLv,,LOCSAT,confirmed,manual,iasp91,21,13,6,0.1087912991642952,147.3738307952881,0.3269487476218787,0.1677927449644585
2024p785828,earthquake,2024-10-17T18:09:41.034Z,2024-10-17T18:34:38.898Z,177.98538208007812,-38.03510284423828,0.9050645480607523,26.601200103759766,MLv,,LOCSAT,confirmed,manual,iasp91,13,9,4,0.1414230316877365,70.15579223632812,0.39303382456152597,0.5187231353774435
2024p785105,earthquake,2024-10-17T11:44:10.359Z,2024-10-17T13:03:10.948Z,177.71896362304688,-38.580894470214844,1.0731024426784064,21.105072021484375,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,1,0.12923301756381989,71.03364562988281,0.43877176149114505,0
2024p783353,earthquake,2024-10-16T20:10:49.718Z,2024-10-16T20:20:06.009Z,177.8939971923828,-38.377952575683594,3.011722604342239,50.94081878662109,MLv,,LOCSAT,confirmed,manual,iasp91,29,18,39,0.07083536684513092,71.25570678710938,0.6050129697559574,0.25491415600430006
2024p782901,earthquake,2024-10-16T16:09:49.770Z,2024-10-16T16:38:11.470Z,177.85501098632812,-38.699703216552734,1.5899762982575432,32.620452880859375,MLv,,LOCSAT,confirmed,manual,iasp91,18,14,4,0.07286857813596725,108.71282958984375,0.47624620694472,0.24788891380271505
2024p782625,earthquake,2024-10-16T13:42:53.603Z,2024-10-16T14:09:40.668Z,177.87741088867188,-38.867881774902344,1.8183571189280372,21.42905044555664,MLv,,LOCSAT,confirmed,manual,iasp91,23,15,6,0.05482354760169983,141.14194869995117,0.573695599089407,0.11893985121976333
