publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p791535,earthquake,2024-10-19T20:50:04.973Z,2024-10-19T22:12:26.549Z,175.16403198242188,-40.140724182128906,1.6812322379576543,22.611255645751953,MLv,,LOCSAT,confirmed,manual,iasp91,26,16,5,0.1326533704996109,105.618408203125,0.5014061020906242,0.18824576543649327
2024p791438,earthquake,2024-10-19T19:58:15.487Z,2024-10-19T21:34:00.006Z,174.42726135253906,-41.2689094543457,1.4258644152808753,25.937482833862305,MLv,,LOCSAT,confirmed,manual,iasp91,28,14,3,0.1279795914888382,106.7254409790039,0.4539627683642946,0.2878885085494476
2024p791240,earthquake,2024-10-19T18:13:36.760Z,2024-10-19T18:15:20.348Z,174.4610137939453,-40.94275665283203,1.4942409171182038,47.2999382019043,M,,LOCSAT,preliminary,manual,iasp91,19,10,7,0.3016228973865509,143.14925384521484,0.3080089124111141,0
2024p791147,earthquake,2024-10-19T17:23:25.135Z,2024-10-19T18:03:30.363Z,175.1702117919922,-40.144996643066406,1.645239336690126,27.03798294067383,MLv,,LOCSAT,confirmed,manual,iasp91,33,20,7,0.12644179165363312,100.95588684082031,0.4921261691339117,0.1688401786075306
2024p791006,earthquake,2024-10-19T16:08:04.667Z,2024-10-19T16:22:57.998Z,176.57095336914062,-40.30036926269531,1.4644989200578706,12.363134384155273,MLv,,LOCSAT,confirmed,manual,iasp91,25,14,8,0.031258583068847656,111.31232452392578,0.5036327546552446,0.14639640564199824
2024p790946,earthquake,2024-10-19T15:36:20.599Z,2024-10-19T16:38:06.314Z,176.71543884277344,-40.40945053100586,1.9458917531166287,10.918641090393066,MLv,,LOCSAT,confirmed,manual,iasp91,24,16,9,0.13324789702892303,216.21649742126465,0.4459573898955604,0.1650980084595539
2024p790785,earthquake,2024-10-19T14:10:25.902Z,2024-10-19T16:33:09.388Z,175.16629028320312,-40.139129638671875,1.624250509735089,25.048179626464844,MLv,,LOCSAT,confirmed,manual,iasp91,42,22,7,0.13194164633750916,101.37138366699219,0.6307246724478411,0.18833798030122711
2024p790757,earthquake,2024-10-19T13:55:29.148Z,2024-10-19T16:20:33.302Z,175.1268310546875,-41.327571868896484,1.2676378153894523,15.597396850585938,MLv,,LOCSAT,confirmed,manual,iasp91,42,26,7,0.12765395641326904,84.29147338867188,0.26235567201480725,0.1619441396616596
2024p790718,earthquake,2024-10-19T13:34:55.549Z,2024-10-19T14:08:05.607Z,176.78562927246094,-40.3957405090332,1.4009089308955234,6.670892238616943,MLv,,LOCSAT,confirmed,manual,iasp91,20,12,6,0.16244561970233917,226.07061767578125,0.4271947831507564,0.1999357280011228
2024p790465,earthquake,2024-10-19T11:20:04.611Z,2024-10-19T11:37:58.454Z,174.37896728515625,-40.38916778564453,2.9928939419970733,47.32079315185547,MLv,,LOCSAT,confirmed,manual,iasp91,41,30,59,0.539543867111206,74.24710083007812,0.40455536020840155,0.18217782058461066
2024p790394,earthquake,2024-10-19T10:42:21.016Z,2024-10-19T12:18:04.064Z,174.47134399414062,-41.679107666015625,1.4145011955701117,18.784358978271484,MLv,,LOCSAT,confirmed,manual,iasp91,26,15,4,0.20506824553012848,159.4764175415039,0.2340380709169785,0.39477011214089275
2024p790266,earthquake,2024-10-19T09:33:45.941Z,2024-10-19T10:31:49.087Z,174.8040771484375,-40.28554153442383,1.2119403412240426,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,12,2,0.39920780062675476,90.63215637207031,0.483648348866621,0.10932400386131322
2024p789743,earthquake,2024-10-19T04:55:26.065Z,2024-10-19T04:58:18.595Z,174.03126525878906,-41.83415222167969,1.6215773055843126,10.005325317382812,MLv,,LOCSAT,confirmed,manual,iasp91,22,15,4,0.08037038892507553,111.801513671875,0.3081688609052239,0.2617761499053896
